unid,survey_date_month,survey_num,gender,working,cft_score,num_score,com_score,grit_score,opt_score
9283,2018-03-01,1,Male,False,6.0,,,9,-2.0
5180,2017-11-01,1,Male,False,,,,5,9.0
62985,2016-03-01,1,Female,False,7.0,2.0,5.0,4,1.0
40583,2018-01-01,1,Female,False,5.0,3.0,5.0,3,11.0
59273,2018-01-01,1,Female,False,,,,6,
31499,2016-02-01,1,Male,False,4.0,,,8,
31499,2016-06-01,2,Male,False,4.0,,,8,
31499,2016-10-01,3,Male,False,4.0,,,8,
4897,2018-01-01,1,Female,True,,,,7,2.0
4897,2018-07-01,2,Female,False,,,,7,2.0
4897,2018-08-01,3,Female,True,,,,7,2.0
44525,2016-08-01,1,Male,False,3.0,,5.0,4,
44525,2017-08-01,2,Male,True,3.0,,5.0,4,
44525,2018-07-01,3,Male,False,3.0,,5.0,4,
54806,2017-06-01,1,Male,False,7.0,,,9,
53284,2016-05-01,1,Male,False,8.0,,,5,13.0
53284,2017-09-01,2,Male,False,8.0,,,5,13.0
19327,2016-06-01,1,Female,False,7.0,4.0,6.0,4,8.0
19327,2017-07-01,2,Female,True,7.0,4.0,6.0,4,8.0
59911,2018-01-01,1,Male,False,,,,5,5.0
6747,2016-09-01,1,Female,False,6.0,,,2,
77927,2016-07-01,1,Female,False,2.0,4.0,6.0,0,12.0
39697,2017-02-01,1,Male,False,10.0,,,8,
23591,2018-04-01,1,Male,False,,,,3,
23591,2018-05-01,2,Male,False,,,,3,
81507,2016-04-01,1,Female,True,4.0,,6.0,8,9.0
81507,2016-08-01,2,Female,True,4.0,,6.0,8,9.0
48555,2018-05-01,1,Male,False,,,,9,
88040,2016-05-01,1,Male,True,5.0,,8.0,8,6.0
88040,2016-08-01,2,Male,True,5.0,,8.0,8,6.0
88040,2017-01-01,3,Male,True,5.0,,8.0,8,6.0
88040,2017-04-01,4,Male,True,5.0,,8.0,8,6.0
23732,2018-02-01,1,Female,False,5.0,,,4,7.0
6892,2017-03-01,1,Female,True,4.0,,,0,4.0
9593,2016-02-01,1,Male,False,3.0,,,9,9.0
9593,2016-06-01,2,Male,False,3.0,,,9,9.0
9593,2016-10-01,3,Male,False,3.0,,,9,9.0
9593,2017-02-01,4,Male,False,3.0,,,9,9.0
29479,2016-03-01,1,Male,True,7.0,,,3,
56864,2016-02-01,1,Male,False,7.0,,,9,2.0
56864,2016-06-01,2,Male,False,7.0,,,9,2.0
56864,2016-10-01,3,Male,False,7.0,,,9,2.0
56864,2017-06-01,4,Male,False,7.0,,,9,2.0
88510,2016-10-01,1,Female,False,4.0,4.0,5.0,3,6.0
95490,2017-02-01,1,Female,True,7.0,,,1,
95490,2017-05-01,2,Female,False,7.0,,,1,
51357,2018-11-01,1,Male,False,7.0,4.0,6.0,0,
214,2016-03-01,1,Female,True,5.0,,,0,
102208,2017-08-01,1,Female,False,,,,6,5.0
102208,2018-06-01,2,Female,False,,,,6,5.0
97993,2018-03-01,1,Male,True,,,,2,3.0
97993,2018-10-01,2,Male,False,,,,2,3.0
47191,2017-04-01,1,Female,True,5.0,,,2,6.0
100047,2017-06-01,1,Female,False,4.0,6.0,5.0,1,3.0
38025,2017-11-01,1,Male,True,,,,7,5.0
65422,2017-01-01,1,Female,False,4.0,1.0,5.0,8,
65422,2017-05-01,2,Female,True,4.0,1.0,5.0,8,
65422,2017-09-01,3,Female,False,4.0,1.0,5.0,8,
15884,2016-10-01,1,Female,False,7.0,,,1,
41795,2017-03-01,1,Female,False,6.0,,,8,5.0
41795,2017-07-01,2,Female,False,6.0,,,8,5.0
41795,2018-05-01,3,Female,False,6.0,,,8,5.0
92402,2018-01-01,1,Male,False,,,,6,5.0
92402,2018-06-01,2,Male,False,,,,6,5.0
69766,2018-03-01,1,Female,False,,,,9,
69766,2018-10-01,2,Female,False,,,,9,
71601,2017-04-01,1,Female,False,7.0,,,7,
64739,2017-11-01,1,Male,False,,,,5,4.0
31193,2018-07-01,1,Male,False,,,,7,
35850,2016-03-01,1,Female,False,3.0,,4.0,1,9.0
35850,2016-10-01,2,Female,False,3.0,,4.0,1,9.0
36008,2018-05-01,1,Male,False,,,,2,
3307,2017-10-01,1,Male,True,,,,7,
100387,2018-02-01,1,Male,False,5.0,,,6,6.0
29494,2018-06-01,1,Female,False,,,,2,
71036,2018-03-01,1,Female,False,,,,0,
32621,2017-09-01,1,Female,False,7.0,,,3,6.0
66226,2017-04-01,1,Male,True,7.0,1.0,6.0,4,9.0
66226,2017-05-01,2,Male,True,7.0,1.0,6.0,4,9.0
66226,2017-08-01,3,Male,False,7.0,1.0,6.0,4,9.0
81000,2017-09-01,1,Male,False,,,,4,4.0
81000,2018-01-01,2,Male,False,,,,4,4.0
56507,2016-09-01,1,Male,False,6.0,4.0,7.0,6,6.0
85490,2017-06-01,1,Male,False,6.0,,,8,5.0
83637,2017-02-01,1,Female,False,3.0,,7.0,9,7.0
29265,2017-11-01,1,Male,True,4.0,,,3,8.0
57842,2018-06-01,1,Female,False,3.0,4.0,5.0,2,
96460,2018-06-01,1,Female,False,6.0,2.0,5.0,0,
15036,2016-07-01,1,Female,False,6.0,6.0,7.0,8,6.0
15036,2017-03-01,2,Female,False,6.0,6.0,7.0,8,6.0
29465,2016-09-01,1,Female,False,4.0,4.0,6.0,7,
78787,2016-02-01,1,Male,False,4.0,,6.0,7,13.0
78787,2016-06-01,2,Male,False,4.0,,6.0,7,13.0
78787,2017-02-01,3,Male,False,4.0,,6.0,7,13.0
78787,2018-07-01,4,Male,False,4.0,,6.0,7,13.0
14653,2016-09-01,1,Female,False,5.0,2.0,3.0,9,7.0
14653,2017-01-01,2,Female,False,5.0,2.0,3.0,9,7.0
75744,2017-07-01,1,Male,False,,,,2,9.0
75744,2017-11-01,2,Male,False,,,,2,9.0
75744,2018-03-01,3,Male,False,,,,2,9.0
6030,2018-08-01,1,Female,False,4.0,,,0,
26907,2016-03-01,1,Female,False,,,,9,
26907,2016-07-01,2,Female,False,,,,9,
26907,2016-11-01,3,Female,False,,,,9,
26907,2018-07-01,4,Female,False,,,,9,
26907,2018-07-01,5,Female,False,,,,9,
54070,2017-09-01,1,Female,True,,,,8,
79948,2017-09-01,1,Female,False,,,,5,5.0
73808,2017-03-01,1,Female,False,5.0,,,1,3.0
56761,2016-06-01,1,Male,False,8.0,5.0,7.0,4,6.0
56761,2018-02-01,2,Male,False,8.0,5.0,7.0,4,6.0
98631,2018-03-01,1,Female,True,,,,8,6.0
63347,2016-03-01,1,Female,False,3.0,,5.0,9,6.0
63347,2017-07-01,2,Female,False,3.0,,5.0,9,6.0
42152,2017-02-01,1,Female,False,3.0,,5.0,9,-4.0
42152,2018-08-01,2,Female,False,3.0,,5.0,9,-4.0
42152,2018-08-01,3,Female,False,3.0,,5.0,9,-4.0
98014,2017-01-01,1,Female,False,6.0,3.0,7.0,0,7.0
46247,2016-06-01,1,Female,False,6.0,,,9,8.0
46247,2016-10-01,2,Female,False,6.0,,,9,8.0
5755,2016-05-01,1,Female,True,2.0,,3.0,0,
32925,2016-07-01,1,Female,False,4.0,,,4,
69934,2017-08-01,1,Male,False,6.0,,,3,
81006,2016-11-01,1,Male,False,8.0,4.0,8.0,4,9.0
81291,2016-12-01,1,Female,True,6.0,3.0,5.0,0,
55634,2017-08-01,1,Male,True,6.0,,5.0,1,6.0
100034,2018-06-01,1,Female,False,,,,7,
96163,2016-10-01,1,Female,True,6.0,,7.0,9,2.0
57229,2017-06-01,1,Male,False,8.0,6.0,7.0,6,8.0
57229,2018-06-01,2,Male,False,8.0,6.0,7.0,6,8.0
85783,2018-08-01,1,Female,False,,,,1,
85314,2017-10-01,1,Female,False,,,,2,1.0
72265,2017-10-01,1,Female,False,,,,9,2.0
72265,2018-02-01,2,Female,False,,,,9,2.0
82935,2018-05-01,1,Female,False,,,,9,
56751,2017-01-01,1,Male,False,9.0,,,6,
67854,2018-05-01,1,Female,False,,,,6,
11481,2017-03-01,1,Female,False,5.0,,,6,8.0
11481,2017-07-01,2,Female,False,5.0,,,6,8.0
11481,2017-10-01,3,Female,False,5.0,,,6,8.0
19614,2017-08-01,1,Male,True,5.0,,,1,2.0
3611,2017-10-01,1,Male,False,4.0,,,2,
45089,2016-11-01,1,Female,True,6.0,4.0,5.0,8,5.0
45263,2016-02-01,1,Female,False,6.0,,,8,8.0
45263,2016-06-01,2,Female,False,6.0,,,8,8.0
45263,2016-10-01,3,Female,False,6.0,,,8,8.0
45263,2017-01-01,4,Female,False,6.0,,,8,8.0
49194,2017-04-01,1,Female,False,8.0,4.0,6.0,5,11.0
49194,2018-04-01,2,Female,False,8.0,4.0,6.0,5,11.0
49194,2018-09-01,3,Female,False,8.0,4.0,6.0,5,11.0
719,2018-01-01,1,Female,False,,,,9,2.0
101131,2018-08-01,1,Female,False,,,,0,
9162,2018-07-01,1,Male,False,,,,7,
20762,2016-03-01,1,Female,False,5.0,,5.0,9,3.0
20762,2016-07-01,2,Female,False,5.0,,5.0,9,3.0
20762,2016-11-01,3,Female,False,5.0,,5.0,9,3.0
20762,2017-03-01,4,Female,True,5.0,,5.0,9,3.0
20762,2017-11-01,5,Female,True,5.0,,5.0,9,3.0
20762,2018-07-01,6,Female,True,5.0,,5.0,9,3.0
63039,2017-08-01,1,Female,False,,,,3,6.0
63039,2017-12-01,2,Female,False,,,,3,6.0
95914,2017-05-01,1,Male,False,2.0,,,9,-1.0
4050,2016-04-01,1,Female,False,5.0,2.0,6.0,6,
4050,2016-07-01,2,Female,False,5.0,2.0,6.0,6,
80263,2017-09-01,1,Female,False,4.0,,,9,7.0
80263,2018-07-01,2,Female,False,4.0,,,9,7.0
73244,2018-05-01,1,Female,False,,,,6,
73244,2018-06-01,2,Female,False,,,,6,
